7	1	Did you know that more and more people these days are depending on computers for their safety, natural education, and their social life? In my opinion, the increasing use of computers is not benefiting society. Initially, ones safety while using a computer is at risk. To begin, when someone is talking to another on a computer, they @MONTH1 never know who is at the other end of it. For example, @CAPS1 a small girl was playing a game on the computer and a person began talking to her, it could be a predator. She will never know unless they meet us somewhere. At this point, it maybe too late. Moreover, studies show that @PERCENT1 of people's information is more widely exposed in the last @NUM1 years due to the new chat websites. Such as myspace and facebook. In these websites, people share their information. With this, their safety is at risk. Finally, people should stop using computers as much as they are now, in order to keep their safety safe. Furthermore, enjoying nature is a must, in our world full of immense landscapes, wide waters, dense forests, and lush valleys. @CAPS1 you depend on your computer to teach you about the world, you should cease this use. One must actually be outside, experiencing the feel, the smell, and even the taste of nature. A recent study shows that people who actually went to the grand canyon could write a @NUM1 page essay on what they had learned. The people who didn't go and simply read information off their computer, could not write this much. Finally, society needs to back away from their computers, and stop into. Thirdly, a person's social life could be ruined from the use of computers for many reasons. One reasons for this could be that a person spends all their time on their computer instead of spending time with their family and friends. Sure, you can chat with people online, but that's nothing like chatting in person. There is no need to talk to a friend or family member online, when you could do it in person. Finally, @CAPS1 someone takes an embarrasing picture of you and puts it on their computer, it is there forever. Thus, you can lose friends, whether you're the person in the picture or the addict who put the picture on. With this, you can easily ruin your family/social life by using your computer too often. How would you feel @CAPS1 it was your fault that someone's safety is at risk? Wouldn't you rather enjoy nature in person instead of which it on your computer and not get the fall effect? Couldn't you talk to your friends and family in person rather than ignore them to use your computer? There are numerous ways in which the increasing rate of computer use does not benefit society. I encourage you to agree with me that computers can put one safety at risk decrease their education of nature and ruin their social life.	5	5		10																					
13	1	Dear local newspaper I raed ur argument on the computers and I think they are a positive effect on people. The first reson I think they are a good effect is because you can do so much with them like if you live in mane and ur cuzin lives in califan you and him could have a wed chat. The second thing you could do is look up news any were in the world you could be stuck on a plane and it would be vary boring when you can take but ur computer and go on ur computer at work and start doing work. When you said it takes away from exirsis well some people use the computer for that too to chart how fast they run or how meny miles they want and sometimes what they eat. The thrid reson is some peolpe jobs are on the computers or making computers for exmple when you made this artical you didnt use a type writer you used a computer and printed it out if we didnt have computers it would make ur @CAPS1 a lot harder. Thank you for reading and whe you are thinking adout it agen pleas consiter my thrie resons.	4	3		7																					
17	1	Dear Local Newspaper, I belive that computers have a negative effect on peoples lives. I belive this because who spend to much time on the computer don't get out as much as they should, don't spend enough time with their family, and the computer can't do everything. My first reason is I belive that people need to get out more. When they don't get out, they don't exersise and that is very unhealthy. Instead of watching the games or the scores they should get out and play the game. I also belive that they should enjoy nature because I feel like they are wasting the beauty of nature all around them. We wouldn't want to waste our abilities and privalges would we? Another reason is that they do not spend enough time with family. If you have family near you, then you should take advantage of that and interact with one another. You can have fun with your family by playing games. You can also have fun by just hanging out, which boost your social skills and the computer can't always do that, which brings me to my next point. The computer can't do everything, so take advantage of what you have now. Some computer time is fine, but it can be very dangerous by getting addictted to it. The computer @MONTH1 have lots of information, but there is nothing that you can't find in a book. Your computer can't love your dog, so there is a reason why we should get off the computer. There are pleanty of other things that you can do that you can't do on the computer, including sports, taking care of family, and any of your hobbys. Remember that the computer @MONTH1 be great from time to time, but it can not live your life for you. That is why I belive that we should spend less time on the computer, and more time getting out, and having fun with family, and that the the computer can't do everything.	4	4		8																					
20	1	Well computers can be a good or a bad thing. I don'@CAPS1 realy see @CAPS2 computers can be a bad thing for me. I also know @CAPS2 computers can or will help people all around the world. I think computers has positive effects on people like me. Computers teaches hand-eye coordination. It can help if you need to find out reasearch for a school project. You can create lots of things on computers like music, desiner @CAPS1-shirts, logos, banners and lots of other creative things. With computer you can look up available homes and apartments. You can even go online and fill out a job application and save trips to stores @CAPS2 cool is that!! Well im a regular person not rich not famous but computers provide lot of information people use today. Thats why I think that computers has a positive effects on people and you don'@CAPS1 have to be super smart to use one.	3	3		6																					
23	1	Dear local newspaper, @CAPS1 you ever see a child on the computer for hours and nothing could get them off? Well I believe that this is very harmful for the child since it doesn't allow them to exersice, interact face to face with people or use their minds to the best of their @NUM1. The more and more we advance in society we get laziar and forget to about these essential things. I think taking a step back from using computers could benefit society more than using them. Obesity in the @LOCATION2 is at its highest @PERCENT1 of kids in the @LOCATION3 agree that they only exersice once a week and would rather spend time on the computer. Think of this, @PERCENT1 of kids. Thats more than @NUM2 of @CAPS2 children. I took the and compared it in @CAPS3 children who don't the benefit of this technology. I learned that @PERCENT1 of children there exersice only once a week. That's for less what these computers are doing to @LOCATION3 @PERCENT2 of children are overweight and @PERCENT3 of them develope heart of blood problems as adults. I by exercise in to go and play with friends or bike, or go for a jog. It doesn't sound hard does it? If we make a to spend this than on computers I think we can reduce this obesity amount and I believe @CAPS2 ran as on overall country. On the computer we have popular websites like @CAPS5, @CAPS6, and @CAPS7. More websites allow you interact with people over the island. This could be in more ways than one. These computer websites are allowing anyone to talk in people who could have the interest in mind. More than @NUM3 out of @NUM4 people in my school say they have one of these accounts and have personal posted on them. With this personal info, could and with these websites the crime rate has gone up @PERCENT4. Also, these websites cause people to their social skills. People spend hours on these websites talking to people and forget how to talk face to face. @PERCENT2 of @LOCATION1 students say they would say something online that they wouldn't say to someone's face. This creates more problems in schools and could possibly make someone hurt someone else or themselves. I've heard all over the news about suicides and because of computers and I believe with less of them people would spend more time with their family and or nation would be closer and safer. Computers dont allow you to explore nature and use your mind to the best of its ability. Computers make it easy and I myself, think it makes me laziar because it allow me to read a book there or read about other people, instead of going to a library and getting a book. Computers take away time to actually use your mind and problem solve in real life solution. There's years and I've learned I can be on the computer for hours playing them and not realize it at all. Without them, would make a difference. Kids are living through computers and we can change them.	5	5		10																					
28	1	Dear Newspaper, Computers are high tec and have expanded in an everyday thing. They play a big role in society. Computers have been improved to do many different things without them we would barely get any thing done. Although kids should start goind outside more, computers teaches kids new things, and it is useful. With computers kids are rarely going outside. A lot of our population of the @LOCATION1 are obese, including kids. Because of this they are staying inside and on their computer. Kids need to go outside evry once and while to get some fresh air and exercise. If they limit their time on the computer and do some active game it would be better for the child. Since computers are rapidly growing and adapting kids spend half of the day on it just stareing at the screen playing some flash game, like run escape. Instead of wasteing their time doing that they should go outside, take a walk just do something! Computers teaches kids new things. Google something like trees. You would get bunch of websites containg information about trees. Kids also play games, if they don't know it, some of the games they play are teaching them stuff, for an example, my little sister, goes on a site called nickeloden.com I see that right and it teaches her stuff she didn't know before. from those types of games it prepared her for kindergarden. Now a days more and more sites keep adapting and becoming known like bing. Computers are real useful. suppose you want to know whats goind on at work. So click your mouse on internet explorer and get your email. With computers, you could go on social networking sites, like facebook and connect with friends. You can also go on instant messageing site to talk to friends and see what there up to. For your entertainment you could play games. Remember though to not stay on too long. Computers are big deal in our community. Life would be very difficult without them. But remember not to stay on too long! Although kids should start going outside, computers, teaches kids new things, and is useful.	5	4		9																					
36	1	"Dear @CAPS1 @CAPS2, Have you ever wondered what effect computers have on people? It is a very negative effect. Computers are one of the main reasons of why kids do not exercise and become obese, it can effect students' grades, and by being on the @CAPS6, you are isolating yourself from your loved ones. First of all, more and more kids are using computers way more often than they should. The result of this, you @MONTH1 ask? Since computers are used daily, especially by young adolescents, it is likely for that child to become obese. Researches from well-known colleges, such as @ORGANIZATION2 and @LOCATION2, discovered that @PERCENT1 of kids who spend more than two hours on the @CAPS6 are obese or will become heavier when they are older. After speaking with @PERSON1, graduate from @LOCATION1, he told me that when children spend more time on the @CAPS6, they are doing nothing but staring at a bright screen that can damage their eyes, and not spending their time outside enjoying the beautiful weather. As a consequence, kids start to gain body fat from sitting on a coach staring at the @CAPS6 all day instead of exercising! My second reason of why computers are a negative effects on kids is that it can harm your grades! After I spoke with a current student at @ORGANIZATION1, she told me that the reason why her grades drop is because she is too busy on @CAPS3, @CAPS4, @CAPS5, etc. She does not focus on her @ORGANIZATION1 work like she should and because she doesn't, her grades go from @NUM1's to low @NUM2's. This shows that even ""A"" students are getting bad grades from being on the @CAPS6. Additionally, from being on the @CAPS6 so much and not paying attention at @ORGANIZATION1 work, it can effect your best grades on the @ORGANIZATION3's! This shows that by always going on the @CAPS6 you hurt your academic skills. My last and final reason of why computers have a negative effect on children is because it harms your social skills of being on outgoing, talkative individual! Everytime you log into that death trap device, your selfesteem becomes lower because you never talk to friends or call them. You just sit on a hard chair, looking at an electronics device that is going to take you no where in life. Also, you are pushing your loved ones away by being on @CAPS6 @NUM3. You will end up never spend time with them and you will never call your friends to see what they are up to if you keep on going on the @CAPS6. Furthermore, if your mom or dad tells you to get off your @CAPS6, you become cranky and rude to your family just becuase you want to go back on your favorite electronic device. Do you really want to act that way to your family? So, in summing up, computers are a negative effect on many young individuals, and the reasons for this are that you have less time to exercise, it harms your grades, and you are not able to be as interactive with people by being on the @CAPS6. The real question is, though, is do you think computers have a negative or positive effect on people?"	5	5		10																					
42	1	Dear @CAPS1 @CAPS2 @CAPS3: Computers have a negitive affect on people and their to connect with others because they always are on the computer and never outside. My first reason is that computers hurt your eyes after a long time sitting at them. People I know have complained of their eyes hurting after using the computer. Studys show taht @PERCENT1 of all people who use the computer after a long time are more likly to loose their eye sight than people who are outside all day. Another one of my reasons is people who are inside on electronics all day are less likly to have good people skills. If you don't have good people skills then you probibly wont have alot of friends and if you need them it would probibly be over the computer. And you never know what they could be like. Also if your inside all day then you will not get the proper excersize could be very bad you and others. My third and final reason is that people will makes fun of you if you sit inside all day don't come out because your on the computer. If you ar on the computer you are more likly to fail in school you don't do your homework or projects but instead your on the computer playing games. And your more likly to get into fights with your parents or guardians because your on the computer and they never see you or hear from you. Also they wont be able to go online and pay their bills witch could be bad for everyone. So these are just some of the reasons I think computers could be bad. Thank you.	4	4		8																					
46	1	Dear, Local Newspaper @CAPS1 here to inform you that the time we spend on computers is needed because it helps you with information, it helps you to become smarter and it helps you with hand-eye coordination. I will now explain to you why the time we spend on computers is needed by stating these three reason. My first reason I'll like to state that will convince you with the time we spend on computer's are needed is it helps us with information and it teaches stuff about place's, people, culture and more it teaches us useful information which takes a while to learn so the time we spend on computeres is needed to learn new information. My second reason I'll like to state that will convince you with. The time we spend on computer's are needed is it helps us to become smarter. Say if you needed help with fractions you can go on a math site it helps you with it. Computers make you become become smarter. And at the end of the day it's about who's smarter not who does more excerise. My third and final reason which contribute to why we spend the time we spend on computer are needed because it teaches you good hand-eye coordination because it help with typing and become more faster to do essay's and when you have good hand-eye coordination you dont make a lot of mistake's typing. So I have come to my conclusion why a lot of computer time is needed because it helps with information, you become smarter, and it teaches good hand-eye coordination this is why a lot of computer time is needed probably even more computer time is needed. A lot of computer time is needed because you get smarter plus it beneifts society.	4	4		8																					
50	1	Computers are the greatest tool mankind has. They give people acsess to more information than anything else in the world. they ler us connect faraway places with one click of the button without computers people would never know and learn or do as much as can without computers modern planes or cars would not exist. without computer this very test probaly would not exist so no sconclusion to much time on the computor, because theres more to do than one can doin lifetime	2	3		5																					
